Dates,GN.co,CARL-B.co,DANSKE.co,MAERSK-B.co,NVO,STO,FLS.co,NZYM-B.co,0384.hk,HM-B.st,ERIC-B.st,NDA-DKK.co,MSFT,DNORD.co,WMT,TEVA,EAC.co,NKT.co,1088.hk,LUN.co,BAVA.co,VWS.co,GEN.co,ALK-B.co,TOPO.co,TKDV.co,TORM.co,NEUR.co,SAP.de,C,PG,JNJ
2014-04-10,65.40,497.70,87.30,8208.00,145.90,25.67,358.80,149.80,3.85,229.70,63.55,47.30,31.16,154.00,59.42,41.81,148.50,240.00,30.75,109.00,46.10,43.70,42.83,398.00,2.97,14.10,2.04,10.00,48.87,29.35,63.68,64.34
2014-04-09,64.65,484.30,83.30,7976.00,142.29,25.23,348.40,152.20,3.85,224.60,61.45,45.69,30.68,151.40,59.07,40.67,146.00,229.30,30.70,118.60,44.10,42.12,41.25,388.00,2.99,14.30,1.98,9.75,48.81,28.14,63.58,63.93
2014-04-08,65.85,486.00,82.40,8064.00,138.90,25.11,319.00,150.00,3.87,225.70,61.50,44.96,30.21,151.00,59.35,40.34,146.50,225.00,30.60,115.10,44.60,40.72,41.00,390.00,2.99,14.20,2.00,9.55,48.12,27.79,63.72,63.61
2014-04-07,66.25,487.50,81.65,7568.00,141.72,24.97,316.60,153.90,3.80,220.30,61.25,44.46,29.90,150.50,59.19,40.00,144.00,216.80,29.35,117.40,44.30,39.00,42.87,380.00,3.09,14.80,2.16,9.40,47.83,26.92,64.29,63.71
2014-04-04,66.25,487.50,81.65,7568.00,140.71,23.45,316.60,153.90,3.83,220.30,61.25,44.46,29.72,150.50,61.68,38.79,144.00,216.80,29.30,117.40,44.30,39.00,42.87,380.00,3.09,14.80,2.16,9.40,47.51,26.41,63.96,63.55
2014-04-03,66.25,487.50,81.65,7568.00,141.48,22.97,316.60,153.90,3.79,213.00,60.50,44.46,29.27,150.50,62.43,38.90,144.00,216.80,28.30,117.40,44.30,39.00,42.87,380.00,3.09,14.80,2.16,9.40,46.38,26.01,63.52,63.35
2014-04-02,68.05,458.90,80.00,7600.00,145.07,23.53,321.80,154.50,3.78,215.80,61.60,43.27,29.75,153.40,63.04,38.98,145.00,215.00,28.65,123.90,43.30,38.10,42.09,372.50,3.06,14.70,2.16,8.90,46.81,26.25,63.39,63.47
2014-04-01,68.00,459.10,84.75,7628.00,144.53,23.28,337.20,152.80,3.80,220.30,62.20,45.22,29.76,158.60,63.73,39.18,146.50,219.20,28.55,126.20,45.30,39.07,42.38,378.00,3.08,14.70,2.05,8.90,47.81,26.92,63.15,63.52
2014-03-31,67.10,450.40,81.45,7404.00,141.47,23.13,318.40,154.60,3.76,214.30,60.90,44.14,29.11,154.30,64.58,38.58,143.00,212.30,28.10,125.00,45.50,37.71,42.41,381.50,3.00,14.60,2.15,8.50,47.38,27.15,62.39,63.27
2014-03-28,67.60,449.60,82.05,7424.00,139.91,23.02,323.70,160.40,3.81,216.70,62.30,45.10,29.07,159.40,65.07,38.69,146.00,213.00,27.75,122.40,46.20,37.62,43.10,376.50,3.00,14.40,2.15,7.60,46.17,26.66,62.57,63.10
2014-03-27,68.15,451.20,82.15,7356.00,140.61,23.24,323.20,163.10,3.88,218.20,61.95,45.15,29.06,158.90,65.31,38.61,146.50,216.00,27.50,124.20,48.50,37.45,42.63,378.00,2.95,14.10,2.14,7.40,45.79,26.47,62.49,62.51
2014-03-26,68.15,451.20,82.15,7356.00,7356.00,7356.00,323.20,163.10,3.83,217.30,62.10,45.15,45.15,158.90,158.90,158.90,146.50,216.00,27.85,124.20,48.50,37.45,42.63,378.00,2.95,14.10,2.14,7.40,46.17,46.17,46.17,46.17
2014-03-25,69.95,462.50,81.40,7520.00,138.63,23.29,334.80,163.80,3.82,220.40,64.70,44.97,29.56,159.40,65.68,38.10,144.00,217.20,28.90,126.50,48.50,38.31,43.00,373.50,3.05,14.00,2.33,6.15,46.75,27.02,62.95,62.59
2014-03-24,70.00,449.40,79.30,7360.00,135.80,22.69,326.80,162.00,3.83,217.20,62.70,44.45,29.34,158.20,65.44,39.20,140.50,212.00,28.45,127.50,46.70,40.24,42.21,371.50,3.10,14.20,2.07,6.35,45.93,26.00,62.32,62.21
2014-03-21,70.35,447.80,79.55,7456.00,133.79,22.70,315.70,161.10,3.84,215.80,61.70,44.26,29.19,155.80,65.82,39.19,139.50,209.40,27.35,124.50,47.50,36.78,42.00,382.00,3.43,14.10,2.03,5.60,46.40,26.51,62.29,62.43
2014-03-20,68.00,427.30,75.80,7224.00,130.79,22.26,300.70,156.30,3.83,211.10,60.95,43.36,28.45,151.40,65.55,39.01,135.50,198.70,27.45,123.50,46.20,34.38,41.50,367.50,3.32,13.90,2.03,5.00,44.69,25.39,61.55,61.78
2014-03-19,67.50,416.00,76.90,7044.00,130.75,22.27,299.90,155.50,3.70,207.70,60.30,43.82,28.55,150.00,65.99,38.92,132.00,199.80,26.30,124.20,47.00,32.43,42.95,360.50,3.19,13.70,2.20,4.14,44.15,24.82,61.40,62.34
2014-03-18,67.50,416.00,76.90,7044.00,131.09,22.15,299.90,155.50,3.66,208.50,60.75,43.82,28.51,150.00,65.50,39.05,132.00,199.80,25.85,124.20,47.00,32.43,42.95,360.50,3.19,13.70,2.20,4.14,44.35,25.75,61.17,62.21
2014-03-17,68.35,436.90,79.35,7228.00,135.49,22.82,308.00,158.20,3.69,208.50,60.75,44.80,29.35,153.50,65.93,39.62,133.50,202.50,25.15,124.50,48.60,31.54,42.69,359.50,3.26,13.70,2.19,3.29,45.43,27.14,61.80,62.80
2014-03-14,70.40,437.70,83.15,7488.00,135.42,22.76,323.30,160.10,3.65,215.60,61.70,45.80,29.23,160.80,65.87,39.02,135.00,209.70,24.70,124.50,49.40,31.93,43.34,359.00,3.35,14.00,2.25,3.33,45.38,26.91,62.76,62.80
2014-03-13,70.55,430.70,81.80,7412.00,133.05,22.76,314.90,159.50,3.65,214.30,61.15,46.17,29.65,158.80,68.22,39.20,137.50,202.90,25.20,123.80,49.80,32.67,42.98,359.50,3.47,13.90,2.30,4.30,45.51,27.77,62.75,62.98
2014-03-12,72.00,427.20,83.15,7464.00,134.26,22.48,313.70,161.40,3.60,215.60,61.70,46.51,28.90,158.70,67.53,38.94,138.00,202.30,25.95,124.10,49.10,30.54,43.15,358.00,3.46,14.10,2.33,3.92,46.22,26.48,62.54,62.12
2014-03-11,70.40,422.50,81.20,7400.00,136.58,22.90,307.00,160.00,3.73,215.20,63.00,46.82,29.29,154.90,67.72,38.81,133.00,196.70,25.90,122.70,49.40,29.70,43.20,349.00,3.39,14.10,2.18,3.80,46.01,27.62,62.76,63.08
2014-03-10,71.10,422.80,80.25,7340.00,136.30,22.70,298.20,160.70,3.71,219.40,63.00,47.20,29.13,154.00,67.07,38.54,135.00,193.40,26.75,121.40,48.20,29.82,43.01,349.00,3.24,14.20,2.17,4.00,46.05,27.67,62.57,64.45
2014-03-07,71.20,427.90,79.60,7256.00,136.87,22.89,294.10,158.50,3.65,220.00,62.00,46.84,29.34,151.50,67.63,38.22,135.00,189.70,26.60,122.50,46.30,29.40,44.59,350.00,3.40,14.00,2.06,3.81,45.67,27.91,63.18,65.45
2014-03-06,71.55,437.10,80.35,7488.00,135.98,23.54,306.00,158.80,3.70,224.60,62.35,47.17,30.02,153.70,67.75,37.87,140.00,192.40,27.45,121.40,46.30,29.60,44.15,348.50,3.36,14.00,2.14,3.94,46.47,28.31,62.88,66.01
2014-03-05,73.25,435.10,78.60,7452.00,138.13,23.28,309.10,161.10,3.75,226.40,63.30,47.26,29.84,154.90,68.12,37.95,141.00,189.20,27.85,121.20,47.50,29.38,45.60,350.00,3.47,13.80,2.17,3.95,46.69,27.55,62.29,66.30
2014-03-04,73.95,435.00,80.20,7600.00,140.51,23.70,315.50,164.20,3.78,230.40,64.50,48.44,30.70,155.40,67.81,38.00,141.00,186.00,27.85,124.00,48.50,30.60,50.05,355.00,3.46,14.20,2.24,3.95,47.68,28.50,62.21,66.72
2014-03-03,74.00,449.10,81.25,7720.00,140.33,23.88,319.40,164.10,3.81,241.50,64.80,48.95,30.93,159.20,68.52,37.78,140.00,188.80,27.55,122.00,49.40,30.80,48.80,345.50,3.55,14.00,2.14,3.80,47.67,28.86,60.39,67.00
2014-02-28,74.50,445.20,80.90,7668.00,138.07,22.80,324.10,163.10,3.79,246.20,63.60,48.84,30.14,154.50,67.70,37.74,141.00,194.00,26.70,121.70,49.00,31.65,51.45,353.50,3.54,14.10,2.14,3.90,46.40,27.83,59.75,66.39
2014-02-27,73.95,447.50,80.10,7640.00,139.16,22.90,318.00,162.00,3.72,246.20,63.60,48.07,30.70,153.80,67.30,38.01,138.00,188.00,26.10,122.20,48.70,30.32,53.30,349.00,3.45,13.80,2.13,3.89,45.74,27.99,59.83,66.63
2014-02-26,71.65,437.90,79.30,7408.00,136.60,22.41,308.80,160.90,3.73,242.30,62.00,47.50,29.87,151.60,68.18,39.72,135.00,183.00,25.65,119.20,48.00,30.16,54.90,350.00,3.51,14.00,2.08,3.98,45.05,26.75,59.31,66.50
2014-02-25,68.85,432.00,77.95,7276.00,137.56,22.42,302.50,156.70,3.68,242.90,61.30,47.07,30.02,147.70,68.58,39.31,134.00,176.20,26.20,117.80,48.70,28.99,54.80,351.50,3.52,14.00,2.15,3.80,45.13,26.73,59.27,66.42
2014-02-24,70.30,448.20,79.05,7328.00,139.87,22.99,306.80,150.70,3.87,243.40,61.15,48.27,30.17,148.80,68.59,39.04,140.00,180.80,26.15,118.40,48.90,28.95,55.05,352.00,3.47,14.00,2.10,3.28,45.76,27.10,59.98,66.84
2014-02-21,69.15,441.40,78.25,7332.00,140.95,22.85,306.00,148.90,3.81,242.10,60.60,47.02,29.91,148.30,68.30,39.14,140.00,181.90,26.20,118.20,49.00,30.02,58.90,346.00,3.64,14.20,2.18,2.86,44.97,26.39,60.29,66.94
2014-02-20,70.85,461.20,81.40,7688.00,145.34,23.86,320.00,151.80,3.86,247.40,63.05,50.00,30.59,155.40,69.72,39.44,143.00,190.00,27.05,121.00,49.70,32.42,58.45,348.00,1.46,14.00,2.12,3.18,46.54,27.41,61.25,67.56
2014-02-19,73.05,472.50,83.30,7764.00,147.47,24.26,326.60,150.90,3.86,246.80,62.80,50.90,30.56,155.60,69.35,39.25,148.50,193.00,27.05,123.80,50.50,29.79,56.50,357.00,1.27,13.80,2.26,3.25,47.54,27.46,61.19,68.00
